sweep,solver,bc,D,dx,N,seed_width,physical_seed_width,dt,coupling_ratio,seed_survived,propagated,propagation_distance,final_center_U
D_at_dx1,euler,periodic,0.02,1.0,128,3,3.0,0.05,0.02,True,False,0,2.999990286570044
D_at_dx1,euler,periodic,0.05,1.0,128,3,3.0,0.05,0.05,True,False,0,2.9999406875509536
D_at_dx1,euler,periodic,0.08,1.0,128,3,3.0,0.05,0.08,True,False,0,2.9998513211440097
D_at_dx1,euler,periodic,0.1,1.0,128,3,3.0,0.05,0.1,True,False,0,2.999770719305285
D_at_dx1,euler,periodic,0.12,1.0,128,3,3.0,0.05,0.12,True,False,0,2.999673957701109
D_at_dx1,euler,periodic,0.15,1.0,128,3,3.0,0.05,0.15,True,False,0,2.999499635311224
D_at_dx1,euler,periodic,0.2,1.0,128,3,3.0,0.05,0.2,True,False,0,2.9991351564150506
D_at_dx1,euler,periodic,0.3,1.0,128,3,3.0,0.05,0.3,True,False,0,2.998151912501335
D_at_dx1,euler,periodic,0.5,1.0,128,3,3.0,0.05,0.5,True,False,0,2.9953178082881364
D_at_dx1,euler,periodic,0.8,1.0,128,3,3.0,0.05,0.8,True,False,0,2.989420227295693
D_at_dx1,euler,periodic,1.0,1.0,128,3,3.0,0.05,1.0,True,False,0,2.9847459170446484
D_at_dx1,euler,periodic,1.5,1.0,128,3,3.0,0.05,1.5,True,False,0,2.9726880486751868
D_at_dx1,euler,periodic,2.0,1.0,128,3,3.0,0.05,2.0,True,True,62,3.0
D_at_dx1,euler,periodic,3.0,1.0,128,3,3.0,0.05,3.0,True,True,62,3.0
D_at_dx1,euler,neumann,0.02,1.0,128,3,3.0,0.05,0.02,True,False,0,2.999990286570044
D_at_dx1,euler,neumann,0.05,1.0,128,3,3.0,0.05,0.05,True,False,0,2.9999406875509536
D_at_dx1,euler,neumann,0.08,1.0,128,3,3.0,0.05,0.08,True,False,0,2.9998513211440097
D_at_dx1,euler,neumann,0.1,1.0,128,3,3.0,0.05,0.1,True,False,0,2.999770719305285
D_at_dx1,euler,neumann,0.12,1.0,128,3,3.0,0.05,0.12,True,False,0,2.999673957701109
D_at_dx1,euler,neumann,0.15,1.0,128,3,3.0,0.05,0.15,True,False,0,2.999499635311224
D_at_dx1,euler,neumann,0.2,1.0,128,3,3.0,0.05,0.2,True,False,0,2.9991351564150506
D_at_dx1,euler,neumann,0.3,1.0,128,3,3.0,0.05,0.3,True,False,0,2.998151912501335
D_at_dx1,euler,neumann,0.5,1.0,128,3,3.0,0.05,0.5,True,False,0,2.9953178082881364
D_at_dx1,euler,neumann,0.8,1.0,128,3,3.0,0.05,0.8,True,False,0,2.989420227295693
D_at_dx1,euler,neumann,1.0,1.0,128,3,3.0,0.05,1.0,True,False,0,2.9847459170446484
D_at_dx1,euler,neumann,1.5,1.0,128,3,3.0,0.05,1.5,True,False,0,2.9726880486751868
D_at_dx1,euler,neumann,2.0,1.0,128,3,3.0,0.05,2.0,True,True,62,3.0
D_at_dx1,euler,neumann,3.0,1.0,128,3,3.0,0.05,3.0,True,True,62,3.0
D_at_dx1,heun,periodic,0.02,1.0,128,3,3.0,0.05,0.02,True,False,0,2.999990286570044
D_at_dx1,heun,periodic,0.05,1.0,128,3,3.0,0.05,0.05,True,False,0,2.999940687550953
D_at_dx1,heun,periodic,0.08,1.0,128,3,3.0,0.05,0.08,True,False,0,2.999851321144009
D_at_dx1,heun,periodic,0.1,1.0,128,3,3.0,0.05,0.1,True,False,0,2.9997707193052845
D_at_dx1,heun,periodic,0.12,1.0,128,3,3.0,0.05,0.12,True,False,0,2.999673957701109
D_at_dx1,heun,periodic,0.15,1.0,128,3,3.0,0.05,0.15,True,False,0,2.999499635311224
D_at_dx1,heun,periodic,0.2,1.0,128,3,3.0,0.05,0.2,True,False,0,2.9991351564150506
D_at_dx1,heun,periodic,0.3,1.0,128,3,3.0,0.05,0.3,True,False,0,2.9981519125013345
D_at_dx1,heun,periodic,0.5,1.0,128,3,3.0,0.05,0.5,True,False,0,2.9953178082881364
D_at_dx1,heun,periodic,0.8,1.0,128,3,3.0,0.05,0.8,True,False,0,2.9894202272956925
D_at_dx1,heun,periodic,1.0,1.0,128,3,3.0,0.05,1.0,True,False,0,2.9847459170446484
D_at_dx1,heun,periodic,1.5,1.0,128,3,3.0,0.05,1.5,True,False,0,2.9726880486751868
D_at_dx1,heun,periodic,2.0,1.0,128,3,3.0,0.05,2.0,True,True,62,3.0
D_at_dx1,heun,periodic,3.0,1.0,128,3,3.0,0.05,3.0,True,True,62,3.0
D_at_dx1,heun,neumann,0.02,1.0,128,3,3.0,0.05,0.02,True,False,0,2.999990286570044
D_at_dx1,heun,neumann,0.05,1.0,128,3,3.0,0.05,0.05,True,False,0,2.999940687550953
D_at_dx1,heun,neumann,0.08,1.0,128,3,3.0,0.05,0.08,True,False,0,2.999851321144009
D_at_dx1,heun,neumann,0.1,1.0,128,3,3.0,0.05,0.1,True,False,0,2.9997707193052845
D_at_dx1,heun,neumann,0.12,1.0,128,3,3.0,0.05,0.12,True,False,0,2.999673957701109
D_at_dx1,heun,neumann,0.15,1.0,128,3,3.0,0.05,0.15,True,False,0,2.999499635311224
D_at_dx1,heun,neumann,0.2,1.0,128,3,3.0,0.05,0.2,True,False,0,2.9991351564150506
D_at_dx1,heun,neumann,0.3,1.0,128,3,3.0,0.05,0.3,True,False,0,2.9981519125013345
D_at_dx1,heun,neumann,0.5,1.0,128,3,3.0,0.05,0.5,True,False,0,2.9953178082881364
D_at_dx1,heun,neumann,0.8,1.0,128,3,3.0,0.05,0.8,True,False,0,2.9894202272956925
D_at_dx1,heun,neumann,1.0,1.0,128,3,3.0,0.05,1.0,True,False,0,2.9847459170446484
D_at_dx1,heun,neumann,1.5,1.0,128,3,3.0,0.05,1.5,True,False,0,2.9726880486751868
D_at_dx1,heun,neumann,2.0,1.0,128,3,3.0,0.05,2.0,True,True,62,3.0
D_at_dx1,heun,neumann,3.0,1.0,128,3,3.0,0.05,3.0,True,True,62,3.0
dx_at_D012,euler,periodic,0.12,0.1,640,31,3.1,0.01666666666666667,11.999999999999996,True,True,304,2.9999999999999996
dx_at_D012,euler,periodic,0.12,0.15,426,21,3.15,0.0375,5.333333333333333,True,True,202,3.0
dx_at_D012,euler,periodic,0.12,0.2,320,15,3.0,0.05,2.999999999999999,True,True,152,3.0
dx_at_D012,euler,periodic,0.12,0.25,256,13,3.25,0.05,1.92,True,True,121,3.0
dx_at_D012,euler,periodic,0.12,0.3,213,11,3.3,0.05,1.3333333333333333,True,False,0,2.9999986451111313
dx_at_D012,euler,periodic,0.12,0.35,182,9,3.15,0.05,0.979591836734694,True,False,0,2.9999955812316923
dx_at_D012,euler,periodic,0.12,0.4,160,7,2.8000000000000003,0.05,0.7499999999999998,True,False,0,2.999973556419799
dx_at_D012,euler,periodic,0.12,0.5,128,7,3.5,0.05,0.48,True,False,0,2.999994638054032
dx_at_D012,euler,periodic,0.12,0.75,85,5,3.75,0.05,0.21333333333333332,True,False,0,2.9999841519987864
dx_at_D012,euler,periodic,0.12,1.0,64,3,3.0,0.05,0.12,True,False,0,2.999673957701109
dx_at_D012,euler,periodic,0.12,1.5,42,3,4.5,0.05,0.05333333333333333,True,False,0,2.9999326795392407
dx_at_D012,euler,periodic,0.12,2.0,32,3,6.0,0.05,0.03,True,False,0,2.999978320364387
dx_at_D012,euler,neumann,0.12,0.1,640,31,3.1,0.01666666666666667,11.999999999999996,True,True,304,2.9999999999999996
dx_at_D012,euler,neumann,0.12,0.15,426,21,3.15,0.0375,5.333333333333333,True,True,202,3.0
dx_at_D012,euler,neumann,0.12,0.2,320,15,3.0,0.05,2.999999999999999,True,True,152,3.0
dx_at_D012,euler,neumann,0.12,0.25,256,13,3.25,0.05,1.92,True,True,121,3.0
dx_at_D012,euler,neumann,0.12,0.3,213,11,3.3,0.05,1.3333333333333333,True,False,0,2.9999986451111313
dx_at_D012,euler,neumann,0.12,0.35,182,9,3.15,0.05,0.979591836734694,True,False,0,2.9999955812316923
dx_at_D012,euler,neumann,0.12,0.4,160,7,2.8000000000000003,0.05,0.7499999999999998,True,False,0,2.999973556419799
dx_at_D012,euler,neumann,0.12,0.5,128,7,3.5,0.05,0.48,True,False,0,2.999994638054032
dx_at_D012,euler,neumann,0.12,0.75,85,5,3.75,0.05,0.21333333333333332,True,False,0,2.9999841519987864
dx_at_D012,euler,neumann,0.12,1.0,64,3,3.0,0.05,0.12,True,False,0,2.999673957701109
dx_at_D012,euler,neumann,0.12,1.5,42,3,4.5,0.05,0.05333333333333333,True,False,0,2.9999326795392407
dx_at_D012,euler,neumann,0.12,2.0,32,3,6.0,0.05,0.03,True,False,0,2.999978320364387
dx_at_D012,heun,periodic,0.12,0.1,640,31,3.1,0.01666666666666667,11.999999999999996,True,True,304,2.999999999999999
dx_at_D012,heun,periodic,0.12,0.15,426,21,3.15,0.0375,5.333333333333333,True,True,202,3.0
dx_at_D012,heun,periodic,0.12,0.2,320,15,3.0,0.05,2.999999999999999,True,True,152,3.0
dx_at_D012,heun,periodic,0.12,0.25,256,13,3.25,0.05,1.92,True,True,121,3.0
dx_at_D012,heun,periodic,0.12,0.3,213,11,3.3,0.05,1.3333333333333333,True,False,0,2.9999986451111313
dx_at_D012,heun,periodic,0.12,0.35,182,9,3.15,0.05,0.979591836734694,True,False,0,2.9999955812316923
dx_at_D012,heun,periodic,0.12,0.4,160,7,2.8000000000000003,0.05,0.7499999999999998,True,False,0,2.9999735564197985
dx_at_D012,heun,periodic,0.12,0.5,128,7,3.5,0.05,0.48,True,False,0,2.999994638054032
dx_at_D012,heun,periodic,0.12,0.75,85,5,3.75,0.05,0.21333333333333332,True,False,0,2.9999841519987864
dx_at_D012,heun,periodic,0.12,1.0,64,3,3.0,0.05,0.12,True,False,0,2.999673957701109
dx_at_D012,heun,periodic,0.12,1.5,42,3,4.5,0.05,0.05333333333333333,True,False,0,2.9999326795392407
dx_at_D012,heun,periodic,0.12,2.0,32,3,6.0,0.05,0.03,True,False,0,2.9999783203643866
dx_at_D012,heun,neumann,0.12,0.1,640,31,3.1,0.01666666666666667,11.999999999999996,True,True,304,2.999999999999999
dx_at_D012,heun,neumann,0.12,0.15,426,21,3.15,0.0375,5.333333333333333,True,True,202,3.0
dx_at_D012,heun,neumann,0.12,0.2,320,15,3.0,0.05,2.999999999999999,True,True,152,3.0
dx_at_D012,heun,neumann,0.12,0.25,256,13,3.25,0.05,1.92,True,True,121,3.0
dx_at_D012,heun,neumann,0.12,0.3,213,11,3.3,0.05,1.3333333333333333,True,False,0,2.9999986451111313
dx_at_D012,heun,neumann,0.12,0.35,182,9,3.15,0.05,0.979591836734694,True,False,0,2.9999955812316923
dx_at_D012,heun,neumann,0.12,0.4,160,7,2.8000000000000003,0.05,0.7499999999999998,True,False,0,2.9999735564197985
dx_at_D012,heun,neumann,0.12,0.5,128,7,3.5,0.05,0.48,True,False,0,2.999994638054032
dx_at_D012,heun,neumann,0.12,0.75,85,5,3.75,0.05,0.21333333333333332,True,False,0,2.9999841519987864
dx_at_D012,heun,neumann,0.12,1.0,64,3,3.0,0.05,0.12,True,False,0,2.999673957701109
dx_at_D012,heun,neumann,0.12,1.5,42,3,4.5,0.05,0.05333333333333333,True,False,0,2.9999326795392407
dx_at_D012,heun,neumann,0.12,2.0,32,3,6.0,0.05,0.03,True,False,0,2.9999783203643866
width_locked,euler,periodic,0.12,1.0,128,3,3.0,0.05,0.12,True,False,0,2.999673957701109
width_locked,euler,periodic,0.12,1.0,128,5,5.0,0.05,0.12,True,False,0,2.9999969819576755
width_locked,euler,periodic,0.12,1.0,128,7,7.0,0.05,0.12,True,False,0,2.9999999720602344
width_locked,euler,periodic,0.12,1.0,128,9,9.0,0.05,0.12,True,False,0,2.9999999997413456
width_locked,euler,periodic,0.12,1.0,128,11,11.0,0.05,0.12,True,False,0,2.9999999999976055
width_locked,euler,periodic,0.12,1.0,128,15,15.0,0.05,0.12,True,False,0,3.0
width_locked,euler,periodic,0.12,1.0,128,21,21.0,0.05,0.12,True,False,0,3.0
width_locked,euler,periodic,0.12,1.0,128,31,31.0,0.05,0.12,True,False,0,3.0
width_locked,euler,neumann,0.12,1.0,128,3,3.0,0.05,0.12,True,False,0,2.999673957701109
width_locked,euler,neumann,0.12,1.0,128,5,5.0,0.05,0.12,True,False,0,2.9999969819576755
width_locked,euler,neumann,0.12,1.0,128,7,7.0,0.05,0.12,True,False,0,2.9999999720602344
width_locked,euler,neumann,0.12,1.0,128,9,9.0,0.05,0.12,True,False,0,2.9999999997413456
width_locked,euler,neumann,0.12,1.0,128,11,11.0,0.05,0.12,True,False,0,2.9999999999976055
width_locked,euler,neumann,0.12,1.0,128,15,15.0,0.05,0.12,True,False,0,3.0
width_locked,euler,neumann,0.12,1.0,128,21,21.0,0.05,0.12,True,False,0,3.0
width_locked,euler,neumann,0.12,1.0,128,31,31.0,0.05,0.12,True,False,0,3.0
